-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
visto,"Malnova kartludo angladevena por kvar personoj, nun forpuŝita de briĝo: li majstre ludis on kaj ĉiam perdis PatrojFiloj VII ; ili ludas on, sin vestas malbele kaj terure parolas france Mary; Mi proponus lud-kartojn? elf-cvelfe? je o SrT Libro IX. ?"
visterio,"Genro de grimpa lignecaj vegetaĵoj el familio fabacoj (Wisteria), kultivataj pro siaj belaj grapolaj floraroj diverskoloraj, el Ĉinujo, Japanujo, Koreujo kaj suda Usono: en la ĝardeno staris pergolo de o LaFamilio, ĉapitro 16a, p. 199a; la ĉina o estas ne nur la plej granda florplanto en la mondo rekonita de la monda rekordo Guinness, sed ankaŭ unu el la sep mirindaĵoj de ĝarden[arto] Floroj de la ĉina visterio floras en Los-Anĝeleso, Usono Ĉina Interreta Informa Centro, 2017-03-15 ; en ĉi tiu jaro feliĉe mi povis spekti tre belan florkulminon de la o Vastalto Japana visterio ."
viŝi,Purige froti.
deviŝi,"Forigi ante: la porkopaŝtisto [...] deis al si de la vizaĝo la nigran kaj brunan farbon Fab2Paŝisto de porkoj; por ke la riĉa Mendel Reiss povu dei al si de la buŝo la sekvinberan saŭcon kaj karesi al si la ventron […], mi lasu pafmortigi min RBa Ĉapitro II ? FIG ion de ilia malegaleco la forpasintaj tri jaroj deis BdV La Batalo de l' Vivo ."
elviŝi,"Komplete i: mi elos Jerusalemon, kiel oni elas pladon MT, 21:13."
forviŝi,"Komplete forigi per o: fori la larmojn MT Jesaja 25:8 ; FIG Mi foros ilian nomon el sub la ĉielo MT Readmono 9:14 ; FIG ho mia Dio, […] ne foru miajn bonajn agojn MT Neĥemja 13:14 ; Foru viajn larmojn, // ‐ jen mia nazotuk' LSB Konsolado ; Sed de l’ tabulo de memoro mia // Foros mi nun ĉion, kio restis Hamlet Hamleto ; [li] foris per la brako la ŝviton sur la frunto HsT Sia propra mastro ; FIG la silento milde foris dolorigajn pensojn Tor IV. ; FIG la tempo foros tiun makulon el via interna vivo Tor V. ."
forviŝiĝi,"Sen postsigno malaperi: la nomo ŝia foriĝis el lia memoro Metrop ; la ridaj linioj de la vizaĝo kvazaŭ mirakle foriĝis ChB 20 ; oritaĵo foriĝas, porka led' ne detruiĝas Fab2 Malnova domo !"
neforviŝebla,"Tia, ke oni ne povas komplete forigi ĝin per o: [la] sango […] lasis neforeblajn makulojn sur la portika kolono QuV Ĉapitro XI ; ĉie […] patrino Tereza postlasis siajn neforeblajn spurojn Monato Bardhyl Selimi Centjariĝo de Patrino Tereza 2010 ."
"viŝilo F, Universala Vortaro, viŝ'il'","Tuko por i sian manojn aŭ aliajn partojn de la korpo: la lavistino alportis mian tolaĵon: ĉemizojn, kolumojn, manumojn kaj ilojn DL Dua Libro de l' Lingvo Internacia ; mi eltordis grandan ilon, trempitan en malvarman akvon, metis ĝin ĉirkaŭ lian kolon kaj envolvis lin en lanajn litkovrilojn FK Fundamenta Krestomatio de la lingvo Esperanto ."
glacoviŝilo,"Aparato por purigi la antaŭan aŭ postan glacon de veturilo: princo Heinrich, inventis glacoilon du jarojn post usonanino Mary Anderson kaj anoncis la inventaĵon en 1905 por patento Viki Aŭtomobilo ."
polvoviŝilo,"Ilo per kiu oni e forigas polvon: en unu angulo staris kolorpluma polvoilo Lao She, trad. Wang Chongfang, Kamelo Ŝjangzi, 1988 ."
Viŝnuo,"Iu el la tri ĉefdioj en hinduismo, konservanto kaj estiganto de la universo: ne hazarde la teksto mencias Vjasa kaj Kriŝna: ili ambaŭ estas konsiderataj kiel enkorpiĝoj de o E. Lazarev, trad. N. G., Tibeta legendo pri Jesuo, 2004 ; o en sia enkarniĝo kiel Narasimha mortigas demonon J. Proskovec, Suda Hindio, [vidita en 2006-10] ."
Viŝnuismo,"Pli granda branĉo de hinduismo kun o kiel ĉefdio, ofte aparte pia al iu lia avataro, kia Ramo, Kriŝno..."
vito,"Vinberujo: pro la malvarma klimato o ne vegetas en Irlando Máire NicAoidh Ĝardenumi Monato 2000/04, p. 20 ; ankoraŭ troviĝas resovaĝiĝintaj oj sur la sunaj deklivoj de la ĉirkaŭaj montetoj kaj ankaŭ enĝardene zorgeme rastritaj, alligitaj o-linioj Monato Judit Felszeghy Je via sano! ."
Vito,"Vira antaŭnomo latindevena: mi kontaktis on, li disponas nun sufiĉe da homoj ChR Spiona rondo ."
malsano de sankta Vito,"La malgranda ĥoreo, malsano karakterizata per rapidaj, nekunordigitaj subitaj movoj precipe en la vizaĝo, manoj kaj piedoj: li faras gestojn, kiel ĉe la malsano de sankta o Ŝilero, tr. : Rabistoj, 1:2."
vitacoj,"Familio de dukotiledonaj plantoj (Vitaceae), al kiu apartenas la vito: beroj rikoltataj de vito el la familio oj Viki Vinbero ."
vitala,"Koncernanta aŭ konsistiganta la vivon: a impeto (esprimo uzita de Henri Bergson por aludi la elvolviĝon de la vivo, konsiderata kiel ĉiam progresanta kaj disdividiĝanta fluo)."
vitalismo,"Doktrino, laŭ kiu la vivaj fenomenoj estas radikale diferencaj de la materiaj, kaj rezultas de a forto nereduktebla al la fizikaj fortoj."
9vitamino,"Unu el grupo de helpaj nutrofaktoroj, de malbone konata kemia konsisto, entenataj en multaj naturproduktoj, sed ne produkteblaj sinteze fare de animalaj organismoj, kaj tial necesegaj por la vivo; kvankam ili estas bezonataj nur en malgrandegaj kvantoj, tamen ilia manko estigas gravajn malsanojn. oj estas nomataj per literoj, iafoje kun indicoj: o A, B1, B2, C ktp."
"Vitenbergo, Vitenberg","Urbo ĉe la rivero Elbo, ĉ. 90 km sudokcidente de Berlino, vivurbo de Lutero kaj centro de la Reformacio: situo: (51˚51 N 12˚39 E): por kio vi forlasis on Hamlet ? la Universitato de o Universitato de Wittenberg ; Vitenbergo situas […] ĉirkaŭ mezvoje inter Berlino kaj Lepsiko Vitenbergo ."
vitro,"Malmola, travidebla, rompebla substanco, precipe el silicia dioksido (vd kvarco): o estas rompebla kaj travidebla F 41 ; o kaj feliĉo ne estas fortikaj PrV; dek du perloj […] kvazaŭ travidebla o NT Apokalipso 21:21 ; [li estis] tiel blanka kaj diafana, kvazaŭ li estus el o Fab1 Elinjo-fingreto ; trono […] el laktoblanka o Fab1 Vojkamarado ; opeceto Fab2 Neĝa reĝino ; Glassplitter ero Monato Espero 2003 ; Glassplitter osonorileto Saliko Kolekti sonorilojn Monato 2001/02, p. 24 ; ofarejo Far2 Ĉapitro XVII ; Glasbläserei tra la fenestro, en kiu estis rompita o, ensaltis malbela bufo Fab1 Elinjo-fingreto ."
vitra,"El o: a glaso; üvegpohár a krenujo IK ; aj perloj Fab1 Ĝardeno de la paradizo ; pupoj kun aj okuloj Fab1 Vojkamarado ; li havis an globeton, el kiu fluis parfumoj Far1 Ĉapitro XIII ; la ĉielo staras kiel a kloŝo super la maro Fab1 La virineto de maro ; a dinosaŭra skeleto, majstroverko de brila isto Marjorie Boulton Dinomanio Monato 1994/02, p. 16 ."
vitri,"Garni per oj: ita pordo, galerio; ruĝa ŝranko ita IK ; tablo kovrita de itaj skatoloj kun oraj objektoj Marta ."
vitreca,"Havanta aspekton de o: ŝiaj palpebroj ŝvelis, la pupiloj kovriĝis per eca vualo Marta ; ŝia rigardo fariĝis eca kaj retirita internen (nefokusita, malklara) Marta ; kun okuloj, kies eca rigardo vagadis sur la vizaĝoj de la pasantoj Marta ."
vitrego,"Granda ofenestro aŭ vitralo: [ĝi] staras malantaŭ la montro-ego, kaj bedaŭrinde malantaŭ ferkrado Sat-Amikaro | Esperanto en Bruselo ."
vitrigi,Transformi ion en aspektan substancon: FIG larmoj […] igis la pupilojn Marta ; igi homojn (elspioni) Monato Stefan Maul Du mil ok 2008 .
"grandiga vitro, pligrandiga vitro","Lupeo: li […] tenas sian grandigan on antaŭ la okulo kaj rigardas akvoguton Fab2 Guto da akvo ; li venis kun pligrandiga o, metis eksteren anguleton de sia surtuto kaj lasis fali sur ĝin la neĝajn flokojn Fab2 Neĝa reĝino ."
"okulvitroj F, Universala Vortaro, okul'vitr'","Optikaj vitroj por ambaŭ okuloj, garnitaj per muntaĵo, per kiu oni fiksas ilin ĉu sur nazo kiel nazumo, ĉu sur nazo kaj oreloj kiel branĉvitroj: la maljuna ministro […] rigardis tra siaj okuloj Fab1 La novaj vestoj de la reĝo ; li movetis la kapon, viŝis siajn okulojn, surmetis ilin denove Fab2 Dano Holger ; rondaj okuloj VivZam ; dikaj okuloj Marta ; miopuloj, kiuj ne posedas okulojn Raymond Schwartz La Stranga Butiko P. P. P. aŭ Por Plenigi Paĝojn ; virino portanta sunokulojn Monato Hektor Alos I Font Spektantoj spektataj 2003 ; brýle proti slunci Sonnenbrille sunglasses zonnebril okulary soneczne okuliare proti slnku naĝ-okuloj Monato Hori Jasuo Masko-manio 2009 ; Schwimmbrille okulary pywackie FIG rigardi la mondon tra la okuloj de l' optimismo protektokuloj Monato Thierry Salomon Ruĝŝlima vulkano 2010 ; Schutzbrille FIG la herooj de 1812 vole-nevole perceptiĝas nur tra okuloj de la romano de Lev Tolstoj Monato Nikolao Gudskov Reveno de heroo 2004 ."
vitralo,"Kunaĵo el diverskoloraj pecoj de vitro, kunigitaj per plumbostrioj por formi desegnojn: videblas belega o, aparte en la kapelo de fondinto de la lernejo por produktantoj de oj Monato William Simcock Impresoj pri Portugalio ; portalo en karakteriza stilo: katedralturo kun o por la kristanoj Monato Franz-Georg Rössler Elegante ellevante ."
vitreo,"Gelateneca substanco, kiu plenigas la internan parton de la okulo malantaŭ la lenso: malfiksiĝo de la posta o estas ordinara afero kaj ne estas danĝera [K. Lendon], Flosaĵoj, 1999-2001 ."
vitrino,Vitra instalaĵo por elmontri objektojn.
vitriolo,Koncentrita sulfurida acido aŭ sulfato: erupcioj elsputas la menciitajn gasojn komune kun vulkana polvo ĝis stratosfero […] sulfura dioksido ŝanĝiĝas en aerosolon de o (H2SO4) Viki Vulkano ; la kupra sulfato aŭ blua o estas la kombinaĵo de kupra jono (Cu2+) kaj de sulfata jono (SO42−) Viki Kupra sulfato .
Vitruvio,"Arkitekto romia el la unua jarcento, verkinto de siafaka traktato: pere de o ni jam estas bone informitaj kiel aspektis malnovromana domoIntArkeol, p. 29a."
vivi,"Posedi la kapablojn sin nutri kaj reprodukti, percepti sian ĉirkaŭaĵon kaj ‐ koncerne bestojn ‐ ankaŭ sin movi: anta organismo Lanti ; anta verdaĵo Fab2 Sambuka virineto ; FIG la anta Dio Iŝtar ; FIG anta ekzemplo Lanti ."
vivo,"Spontanea aktiveco propra al organizitaj estaĵoj: al lia o estis farita fino DL ; li forkuris de la batalo, ĉar li domaĝis sian on LR 2. Vortuzo ; mia malfeliĉa patro finis la on per memmortigo FK ; REL posttomba o Hamlet ; ŝi savis al li la on, kiam li preskaŭ sen o estis pelata de la ondoj Fab1 La virineto de maro ; unu horo povas decidi inter o kaj morto FK ; perdi la on Fab1 Lekanto ; életét veszti FIG saĝo estas fonto de o por sia posedanto MT Sentencoj 16:22 ."
viva VdE,"anta: a kankro FK ; ĉiu a estaĵo, de la plej malgranda fungo ĝis la plej disvolvita besto FK ; aj floroj Fab2, La virineto de maro; mi englutos ilin aj MT Sentencoj 1:12 ; an aŭ malan mi vin havos! KPr ! li estis la a portreto de sia patrino KPr ."
vivaĵo,"Io anta, a estaĵo, kontraste al la senaĵo: fenologio [estas] scienco pri sezonaj influoj je aĵoj M. Lewin Meteologia Terminaro 1961 ; el ĉiuj aĵoj [...] enkonduku po unu paro [...] en la arkeon, ke ili restu vivaj kun vi MT, 6:19; la animo […] kondutas kiel aĵo, mi atribuas al ĝi nutradon kaj digeston, sed tamen mi ne povas priskribi ĝian formon VaK ; la genetika informo en ĉiuj aĵoj estas kodita […] en molekulo de DNA (desoksiribonukleata acido) Monato Vladimir Lemelev Nova etapo en biologio kaj medicino 2006 ; oni nomas mutacio la fenomenon, ke jen aperas nova speco de aĵoj kapabla teni sin viva kaj disflori kiel speco BonaLingvo ; Deinococcus radiodurans […] as sub ekstremaj cirkonstancoj […], krom malvarmego la bakterio eltenas acidon, malsekecon kaj varmegon, ‐ eĉ tre forta radiado […] ne mortigas tiujn aĵojn Monato Walter Klag Bredi alpakojn 2012 ."
viveco,"Rapidageco, rapidmoveco, ardeco: kun eksterordinara eco, kiun eble envius eĉ dekkvinjara knabino, ŝi elsaltis el la vagono FK ; ĝi ĉiam ekzistis – interrompis kun eco Mario Gavrilovna NeĝaBlovado."
vivema,"Montranta instinkton, volon konservi sian on: tiu etulo, kiun ŝi sentas en sia internaĵo tiel moviĝantan kaj tiel eman, estos forlasita de sia naskiĝo KPr ; subite vekiĝis en li la instinkto de la emo, tio tamen ne estis volo […], sed ia instinkta […] reago LGA . Lebenswille, Überlebensinstinkt voluntad de vivir"
vivigi,"Doni on aŭ econ al: eble mi povos lin iomete rekonsciigi, kaj lin igi sufiĉe da tempo, por ke li povu doni […] klarigojn ChL ; multaj foiranoj […] igis la ordinaran senhoman landvojon Fab4 Kion la patro faras, estas ĉiam ĝusta ; feliĉa mi estus tiam, se amika anĝelo volus igi mian malplenan hejmon kaj flegi min FK ; dum lia foresto ŝi ne enuis, […] sed lia apero tuj igis ŝin PatrojFiloj ; iga fajro BdV ."
"vivuo, vivukrio","Krio por deziresprimi al iu longan on: la homoj […] ĝuste nun ili leviĝis kun plenaj glasoj kaj toastis uon al la nova jaro Fab4 Dekdu per la poŝto ; Jern signe levis la manon, kaj kvar potencaj ukrioj eksonis InfanTorent2 ; la ceterajn vortojn sufokis […] la tondra ukrio de miaj kamaradoj VaK ."
vivulo,"anto, iu kiu ankoraŭ ne mortis: kiu troviĝas inter la uloj, tiu havas ankoraŭ esperon, ĉar eĉ al hundo vivanta estas pli bone, ol al leono mortinta MT Predikanto 9:4 ; la ŝipo kuradas senhalte tra ondoj, […] uloj malestas sur ĝi FK ; la ulo estis rozkolora kiel ... ulo, dum la malulo estis pala kiel ... malulo, kaj tio sufiĉis por plene ilin diferencigi ChL ; la nombro de uloj malkreskis, kaj iliaj loĝejoj estis forlasitaj Kiso ; elpeli iun el la mondo de la uloj (mortigi) PrV ."
deviva,"Farita, okazinta en la otempo de koncerna persono, kontraste al postmorta: dea portreto de Petro la 1ª; nun la francoj plejparte sekvas la dean eldonon (de Moliera komedio) Sergio Pokrovskij: Editora antaŭparolo. Georgo Dandin. ."
dumviva,"Daŭronta dum la tuta o: la junulino estis enskribita por duma rento da dek mil frankoj KPr ; virgulinoj, sin dediĉinte al duma servo al Iŝtar Iŝtar ; kiel li puniĝas? – per duma mallibero SatirRak ; dumaj membroj EeP ."
ĝisvivi,"i ĝis iu momento; atingi per sia o: ni ne scias, ĉu ni ĝisos la morgaŭon Far3 Ĉapitro XVI ! la plimulto de ni ne ĝisos tiun momenton, kiam montriĝos la fruktoj de nia agado EE ; iliaj ombroj staru nun antaŭ niaj okuloj, kvazaŭ partoprenante en tiu granda festo, kiun ili preparis, sed ne ĝisis Paroloj Parolado antaŭ la Oka Kongreso Esperantista en Krakow en la 11a de aŭgusto 1912 ."
kunvivi,"i kun, komune kun, en grupo, en komunumo, en familio...: tiel kunos kun vi viaj filoj MT Jesaja 62:5 ; edzoj, kunadu kun viaj edzinoj laŭscie, donante honoron al la virino NT I. Petro 3:7 ; mi tiel kuniĝis kun mia situacio, ke mia tuta pasinta o, al mi ŝajnas, estis nur ia mirinda sonĝaĵo FK ; ĉiu rakontos, kion li travivis, ĉe tio oni povas tre bone ĉion kuni spirite Fab1 Fluganta kofro ; inter homoj ĉiugentaj frate kunantaj sur neŭtrala bazo VivZam ; ili […] geedziĝis kaj feliĉe kunis havante multajn idojn V. Vinař laŭ B. Němcová Joĉjo la sentaŭgulo kaj kartludema reĝidino en: Ĉeĥaj Fabeloj, 1976 ."
"kunvivo, kunvivado","ado en komuna loko, loĝejo, establo: junulo prenas por kunado junulinon MT Jesaja 62:5 ; ili ne postulis grandajn spacojn, sed nur socian kunadon Fab4 Sterkskarabo ; ni kunvenas ĉiujare […], por varmigi en ni per reciproka renkontiĝo kaj kuno la amon kaj entuziasmon por la ideo, kiun la Esperantismo en si enhavas Paroloj Parolado antaŭ la Tria Kongreso Esperantista en Cambridge en la 12a de aŭgusto 1907 ; post ok tagoj nia geedza kuno estos konita de ĉiuj homoj ChL ; Johano komencis rakonti pri siaj gekamaradoj kaj la kuno kun ili InfanTorent2 ."
kunvivanto,"Tiu, kiu as kutime kaj daŭre kun alia: vi estis la ĉiutaga kunantino de homo klera, tio signifas multe Marta ; kamarado, kunulo, kuniranto, kunvojaĝanto, vojkunulo, samsortulo, kunulo, kunanto BonaLingvo ; ŝi povus eventuale edziniĝi al sia kunanto JSL Novtipa prezidanto Monato 2000/04, p. 9 ; onklino de Orwell estis kunantino de Lanti, la fondinto de SAT Garbhan MacAoidh Lingvo, mito kaj legendo Monato 2002/09, p.17-19 ."
malviva,Ne posedanta on:
malvivulo,"Mortinto aŭ sena estaĵo perceptata kvazaŭ ulo (kiel Golemo aŭ Terminator): Ĉu maluloj leviĝos kaj gloros Vin? MT, 88:10."
malvivo,"La stato de ĉio kio ne estas a ‐ ĉu mortinta, ĉu neniam inta: la morto estas transiro el la vivo en la malon; Bonan matenon, Majstro! Sidiĝu, mi petas. || Kiel vi fartas post kvindekjara malo? W. Auld, Bonan matenon, Majstro Nova Esperanta Krestomatio, 1991. p. 438 ."
"porvivaĵo, porvivo","Rimedoj por sin nutri, pano: [ili] ekstermadis la produktojn de la tero […] kaj ne restigadis poraĵon ĉe la Izraelidoj MT Juĝistoj 6:4 ; la malriĉulo devas klopodi per ungoj kaj dentoj por gajni sian poron A. Kivi, trad. H. Hall, La Botistoj, 1919 ."
postvivi,"Plu i, ekzisti post iu okazo aŭ tempo: Jen ni ĝin festis, kaj la nepo — sola postanto de la familio, viro, kiu portas la gloran nomon de sia avo – ne ĉeestis la solenan kunvenon N. Z. Maimon: Postrikolto el la Zamenhofa Jaro. Nica literatura revuo, 7:2 (38) ; aliaj postintoj de tiu masakro estis transportitaj al Babelo, kie ili estis sklavoj W. Rohloff, Abortigo kaj la biblio (2), Monato."
revivigi,"Fari, ke iu jam mortinta (aŭ mortanta) u denove: reigi droninton; Jesuo reigis Lazaron; jen estas tiu virino, kaj jen estas ŝia filo, kiun Eliŝa reigis MT, 8:5; ŝi vivas ankoraŭ, li diris: eble ŝi estas reigebla KPr Ĉapitro Unua ; ĉiuj rimedoj vane estis uzitaj por reigi Klaron, ŝi mortis kaj restis mortinta Fab4, historio el la dunoj; mia patro reigis la mortantan fajron StU Britujo ."
reviviĝi,"Reveni en la on, eki denove; releviĝi: ili mortis kaj ne reiĝos, ili estas maluloj kaj ne releviĝos MT, 26:14; kredi je la reiĝo de la mortintoj; FIG ĉi tiu sceno reiĝis en lia memoro;"
reviviĝo,"Reveno al o, releviĝo: se vi estas en dubo pri la reiĝo, pensu, ke Ni kreis vin el polvo trad. I. Chiussi, La Nobla Korano, 1970 ."
senviva,"Perdinta la on: sena korpo; estas feliĉo, ke la maljuna avino jam ne is, alie li senigus ŝin Fab1 Malgranda Niko kaj granda Niko ."
senvivaĵo,"Objekto sena, kontraste al la aĵoj: eĉ la senaĵoj, kiuj produktas sonon, ĉu fluto, ĉu harpo, se ili ne donas diferencon en la sonoj, kiel oni scios, kio estas flutata aŭ harpata NT, 14:7? la vorto ĝi (uzata speciale por bestoj aŭ senaĵoj) enhavas en si ion malaltigan LR, Respondo 23a, La Revuo, 1907, aŭgusto; ŝi antaŭvidis la momenton en kiu ŝi falos kiel senaĵo en la brakojn de sia malamiko KPr ."
senviviĝi,"Seniĝi je o, morti: en tiu tago […] seniĝos la koro de la reĝo MT Jeremia 4:9 ; kial mi ne mortis tuj el la utero, ne seniĝis post la eliro el la ventro MT Ijob 3:11 ? antaŭ ol ŝiaj okuloj seniĝos Fab3 Plej bela rozo de la mondo ; vidante ke ŝia filino iom post iom seniĝas, sinjorino de Prelongo elpensis ĉiutage iajn distraĵojn KPr ."
supervivi,"Transi: la maljunulo kulpigos sin pri la morto de sia filo, kaj — li estas malsana, (...) — li ne superos la (funebran) sciigon F. Ŝilero, trad. L. L. Zamenhof, La rabistoj, 2:2."
travivi,"Pasi ante: trai teruran minuton, grandan epokon; trai la junecon en malliberejo VdE; la traita tempo reaperis antaŭ liaj okuloj; la tuta vivo, kiun trais Adam, estis naŭcent tridek jaroj, kaj li mortis MT Genezo 5:5 ; FRAZ on trai estas art' malfacila PrV. –"
"travivo, travivaĵo","Okazaĵo, kiun iu traas, vive spertas: [ŝi] rakontis al ili ĉiujn traaĵojn de sia juneco Fab2 Abio ; dume li ankoraŭ troviĝis meze en la stranga traaĵo HsT La nepo ; mi ne ĉeestis ludon ekde la Hampden-tumulto antaŭ kvar jaroj, tio estis timiga trao J. Francis, La Granda Kaldrono, 1978 ! savu min de la denova trao de la teruraĵoj VaK Dudeka Ĉapitro ; la plej interesa trao por Klem estis la subirado de la suno KKl Ĉapitro 5 ; la traaĵoj de la pasinta vespero revekiĝis en lia interno InfanTorent2 Unua Parto ."
transvivi,"Trai kaj posti gravan (kaj, plejparte, malfeliĉan) okazaĵon: Patrino lia amas lin varmege Kaj certe ne transus lian punon V. Ŝekspiro, trad. L. L. Zamenhof, Hamleto, Reĝido de Danujo, 4:7. ; Bulgario ja transis la preskaŭ 200-jaran bizancian jugon (1018–1186) kaj la preskaŭ 500-jaran otomanan jugon (1396–1878) D. Haĝiev: Kio estas spiriteco?, Monato. ; Kompreneble, la plimulto de poloj — samkiel ĉiuj, kiuj transis la holokaŭston - konis la veron Z. Banet-Fornalowa, Pollando, Monato. ; la slovena ŝtato esploris diplomatiajn eblojn por lin liberigi, sciante, ke Križnar verŝajne ne transos du jarojn en sudanaj malliberejoj Z. Tišljar, Pac-peranto liberigita, Monato. ."
"bonvivanto, gajvivanto","Homo kiu volonte ĝuas la plezurojn de o: nek Merchant, nek Klem, kutimiĝis al la ĝojoj de la bonantoj J. Merchant, Kompatinda Klem, 1931 ; li estis sufiĉe grasa, kaj se li nur aspektus pli gaja, li estus bonega specimeno de bonanto HsT ."
longviva,"Kiu longe is (rilate al sia speco): Shigechiyo Izumi, la plej longa viro en la historio, vivis 120 jarojn -, Junio 2015: Jubileoj, memordatoj kaj festoj, La Ondo de Esperanto, 2015:6 (248) ; ili harmonie is laŭ la principo de modereco kaj ĝenerale estis longuloj Monato Alice Liu Favore al turismo 2007 ; mi estas pesimisto kaj dubas, ke prognozoj de statistikaj oficejoj pri la longeco de la loĝantaro sur nia terglobo estas pravaj Monato Julius Hauser Centjaruloj kun demandosigno 2012 ."
vivero,"Rabobesto iom katosimila, kun pinta kapo kaj longaj kruroj, produktanta la cibeton; genro el familio edoj (Viverra): en Ĉinio homoj ofte uzis la viandon kaj sangon de oj kiel nutraĵon Monato Vladimir Lemelev De kie venis kaj kial ĉesis netipa pneŭmonio? ."
viveredoj,"Familio el la ordo rabobestoj (Viverridae): la granda hindia zibeto el la […] familio de oj sin trovas en […] Ĉinio kaj ankaŭ en Hindio, Nepalo kaj Hindoĉina Duoninsulo Viki Granda hindia zibeto ; la binturongo el la […] familio de viveredoj vivas en la provinco Junano de Ĉinio kaj ankaŭ en Hindio, Butano, Nepalo […] Viki Binturongo ; genoto - murdisto (Necrogenetta deima), presentanto de oj, praido de genoto, unu el la plej sukcesaj rabobestoj de neoceno Paŭlo Volkov Vojaĝo en Neocenon ."
vivisekcio,"Operacio, praktikata sur vivanta animalo por studi la fiziologiajn fenomenojn: memvola o: du Amerikaj kuracistoj […] publikigis […] anoncon [por serĉi iun por] farado de truo en la stomako kaj fermado ĝin poste per vitro, por farado de esploroj super la funkciado de la stomako FK ; o estas disputita pro la bestoprotektaj leĝoj Viki Vivisekcio ."
vizaĝo,"La antaŭa parto de la homa kapo: ŝi kovris sian on MT 38:15 ; li lavis sian on kaj eliris MT 43:31 ; ne aperu plu antaŭ mia o MT 44:23 ; en la ŝvito de via o vi manĝados panon, ĝis vi revenos en la teron, el kiu vi estas prenita MT 3:19 ; ĉarma milda o Fab2 Neĝa reĝino ; kun subite ruĝiĝinta o kaj flamantaj okuloj Marta ; virojn mi serĉas, kiuj rigardas al la morto en la on kaj lasas la danĝeron ludi ĉirkaŭ ili Rabistoj Akto Tria ; trafi per la parolo rekte en la on PrV ; bela o estas duono da doto PrV."
vizaĝi,"Teni la on, rigardi al iu flanko: ĉar ŝi is al alia direkto, li ne povis rekoni ŝin LaFamilio, ĉapitro 10a, p. 101a."
kontraŭvizaĝe,"ale al iu: starigu la lernanton kontraŭe de vi Émile Coué, trad. Jean Borel La regado de si mem per konscia aŭtosugesto p. 36 ; la infano ŝajnis al ŝi kvazaŭ fantomo, […] en la mallarĝo de la veturilo, kontraŭe en distanco de dek coloj Stefan Zweig, trad. Kathe R. kaj Paul E. Schwerin Brulanta Sekreto ; sovaĝe mi ĵetas min al vi kontraŭe K. Kalocsay Streĉita kordo, Freneze Literatura Mondo Budapest, 1931 ."
duvizaĝa,"Kiu havas du vizaĝojn, du malsamajn aspektojn, respektive vidatan kaj kaŝatan: mi mem ankaŭ — mi ne amas homojn duajn; al mi tre plaĉas via senkaŝeco Revizoro ."
vizaĝaltere,"Kun la o turnita malsupren; alteren: Abraham ĵetis sin altere, kaj ekridis MT Genezo 17:17 ; li leviĝis renkonte al ili kaj kliniĝis altere MT Genezo 19:1 ; mi senkonscie falis altere MT Daniel 10:9 ."
vizaĝalvizaĝe,"Rigardante unu al la alia: la pladoj […] estis metitaj sur ronda tableto, ĉe kiu ni sidis -al-e Ba Jin, trad. Li Shijun, Aŭtuno en la Printempo, 1980 ; la homoj vivadis en malgrandaj grupoj en '-al-a proksimo Monato Garvan Makaj Punkto de malekvilibrigo 2008 ."
Vizbadeno,"Urbo en sudokcidenta Germanujo (8°14E, 50°05N), regurbo de la federacia lando Hesujo: la 71-a IJK, o 2015 Protokolo pri la kunveno de la Komitato de TEJO en la 71-a IJK ."
vizio,"Nereala sed viveca kaj mensa bildo, estigita per dia revelacio, fantazio, pasio ktp: tiel mi vidis la ĉevalojn en la o, kaj […] la kapoj de la ĉevaloj estis kiel kapoj de leonoj, kaj el iliaj buŝoj eliris fajro NT Apokalipso 9:17 ; Dio parolas en unu maniero kaj en alia maniero, […] en sonĝo, en nokta o MT Ijob 33:15 ; la vorto de la Eternulo estis grandpreza en tiu tempo, ne aperadis ofte profetaj oj MT I. Samuel 3:1 ."
vizii,"Vidi en o: profetaĵo pri Babel, kiun is Jesaja MT, 13:1; FIG mia artikolo en 1995 is ian formorton de la kino hungara, profite al filmoj usonaj Monato Istvan Ertl Kinejoj kaj ciferoj: rekonkereto en Hungario 2008 ."
"viziulo, viziisto","Iu, kiu aŭguras per oj: la Eternulo parolis al la profeto Gad, la viziisto de David MT II. Samuel 24:11 ."
viziero,"Movebla vizaĝŝirmilo de kasko: la kasko estis nur simpla kapopeco sen oDonKihxoto ĉapitro 1a, p. 28a."
viziti,"Iri por vidi iun hejme kaj pasigi tie kelkan tempon: antaŭ tri tagoj mi is vian kuzon F, 20.; mia najbaro ordinare as min ĉiutage Fab1 Elinjo-fingreto ; la murmurema kancelariano […] venis e kaj sidis sur la sofo Fab1 Floroj de la malgranda Ida ; Ŝimŝon is sian edzinon, alportante kapridon, […] sed ŝia patro ne permesis al li eniri MT Juĝistoj 15:1 ; mi malsanis, kaj vi is min NT Mateo 25:36 ; mi esperas vin i travojaĝante NT Romanoj 15:24 ; ĉiun matenon la kuracisto as siajn klientojn; li rondeis la vilaĝojn, instruante NT Marko 6:6 ; FIG lin ne as beno de l' prospero Manoel Borges dos Santos Poemoj Monato 2000/04, p. 32 ; ho Eternulo, Dio Cebaot, Dio de Izrael, vekiĝu, por puni ĉiujn popolojn MT Psalmaro 59:5 ."
