-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
abnegacii,"Ne atenti propran utilon kaj bonstaton: kaj li diris al ĉiuj, se iu volas veni post mi li u sin kaj levu sian krucon ĉiutage kaj sekvu min NT, Luko 9:23"
abnegacia,"Ne atenta al propra utilo aŭ plaĉo: bedaŭrinde post la morto de ties a redaktoro la revuo aperas nur unu fojon jare Anatolo Gonĉarov: Via sano en viaj manoj, Monato jaro 2002a, numero 3a, p. 17-19a."
aboco,"ABC, a·bo·co: sur la monumento estas e enskribitaj 50 familiaj nomoj Monato last Filantropa pomo 2012 ."
"aboli, aboli","Per jura akto definitive nuligi leĝon aŭ forigi kutimon: sklaveco estis ita en Brazilo en 1888; ili reeltrovos […] ĉiujn laŭŝajne malgravajn kutimojn kiujn la antaŭuloj is Rsp Parto Kvar ; la prezidento Putin is la ŝtatan komitaton pri ekologio kiel memstaran organizaĵon LOdE 2000, No 8-9 ; estas afero de la ŝtatoj difini kaj redifini, ratifi kaj i sian pun-juron Reinhard Haupenthal Mallogika kaj senracia Monato 2000/03, p. 4 ; i leĝojn de eksa Jugoslavio bremsantajn privatigon Monato Bardhyl Selimi Kial daŭre tumultoj? ; ni trovu vojon por i atomarmilojn per koncentrado de solidarecaj fortoj de mondaj civitanoj Monato Tetu Makino Minacata la kontraŭmilita konstitucio ; naciaj registaroj is la parlamenton de Norda Irlando en 1972 Monato W. H. Simcock Iom da proporcio ; Butano, Grekio, Samoo, Senegalo kaj Turkio […] is la mortpunon Monato Marko Naoki Lins Ekzekutado ekzekuciata ."
"abolo, abolo","Jura forigo, malvalidigo de leĝo, regulo, kutimo: en 1872 Mori Arinori, la posta japana ministro pri klerigado, eĉ proponis la on de la japana lingvo kaj ties anstataŭigon per la angla: tiun ideon tamen oni ne konsideris serioze Isikawa T. Ĉina ideografio: ĉu kateno aŭ heredita trezoro? Monato, 2018:04, p. 14a ; on de ĉi tiuj diskriminaciaj dispozicioj iniciatis gejaj organizaĵoj jam en 1993 per propono submetita al la Konstitucia Kortumo Monato István Ertl Gajiĝas gejoj 2003 . FIG la koncepto de neŭtrala religio povas pluvivi nur ĉe kompleta o de la kredo entute Monato Carlo Minnaja Mi estas homo 2007 ; por pensantaj homoj fariĝis neakcepteblaj antaŭjuĝoj seksaj, rasaj aŭ naciaj, kaj […] malgraŭ ilia pluekzistado regas forta tendenco al ilia kompleta o LOdE 2002, № 8-9 ."
abomeni,"Malamegi pro fizike naŭzaj aŭ morale malplaĉegaj ecoj: i odoron, la mensogon, la militon; i trinki akvon el la rivero MT Eliro 7:18 ; ili as min, malproksimiĝas de mi, ne timas kraĉi sur mian vizaĝon MT Ijob 30:10 ; tiu homo as sian staton kaj estas la plej malfeliĉa Kandid Ĉapitro XIX ; homo iafoje as sin mem QuV Ĉapitro XV ; ŝi posedis tiun fierecon, kiu as timon Marta ; mia animo as la subtilajn intrigojn kaj la malnoblajn konspirojn Iŝtar Ĉapitro XVIII ; oni perfidon prenas, sed perfidulon as PrV ."
abomena,"Kaŭzanta on: via vino estas nur ia a acidaĵo F 35 ; kia a urbeto Revizoro Akto dua ! rigardu, kia a spektaklo, duone dispremita vermo, kiu ankoraŭ tordiĝas PatrojFiloj XXVII ; kia a faro! mortigi la ĉevalon, sur kiu la reĝo estis rajdonta ElektFab Fidela Johano ."
abomeno,"Sento de tiu, kiu as: vi sentos on antaŭ vi mem kontraŭ ĉiuj malbonagoj, kiujn vi faris. MT Jeĥezkel 20:43 ; birdo, malbela kaj vekanta on Fab2 Malbela anasido ; sin skuante de o Far2 Ĉapitro IX ; mia abomeno al tiu knabino komencas malfortiĝi Far1 Ĉapitro XVI ; kortuŝate de kompato pli ol de o ĉe la vido de tiu terura mizerulaĉo Kandid Ĉapitro IV ; mi kvazaŭ ŝvelis de o kaj timo, sed mi ne povis krii, nek moviĝi FdO ; ŝi sentis eĉ ian on kontraŭ manĝado Marta ."
abomenaĵo,"Io a: la diablo scias de kie oni alportas amasojn da diversa aĵo Revizoro Akto unua ! de kie povis deveni tiu aĵo, kiu krima mano ĝin skribis KPr Ĉapitro Dekunua ; de kiam mi alvenis en Londonon […], mi vidis tiom da aĵoj MrA Ĉapitro VIII ! ĉiu aĵo trovas sian adoranton PrV ."
abomenigi,"Kaŭzi on al iu, fari a; naŭzi: la nomon de Dio igis al ili la falsa eklezia ideo pri Li Homaranismo Pri la homaranismo ; vi igis al vi vian patron MT II. Samuel 16:21 ; ŝi aspektis kiel iga pigmeino k Fab4 Filino de la marĉa reĝo ; [li] ne ĉesis plue igi al Ursus mortigon kaj insisti, ke li faru la ĵuron QuV Ĉapitro XXIV ."
